Time,tmax,tmin,tmax-tmin
2022-02-01T00:00:00Z,-5.3,-8.9,3.6000000000000005
2022-02-02T00:00:00Z,-5.7,-9.7,3.999999999999999
2022-02-03T00:00:00Z,-6.5,-12.4,5.9
2022-02-04T00:00:00Z,-2.1,-11.2,9.1
2022-02-05T00:00:00Z,1.1,-2.7,3.8000000000000003
2022-02-06T00:00:00Z,1.8,-1.5,3.3
2022-02-07T00:00:00Z,1.6,-0.2,1.8
2022-02-08T00:00:00Z,0.8,-2.7,3.5
2022-02-09T00:00:00Z,2.1,-3.8,5.9
2022-02-10T00:00:00Z,3.0,-0.2,3.2
2022-02-11T00:00:00Z,1.0,-4.1,5.1
2022-02-12T00:00:00Z,2.3,-4.7,7.0
2022-02-13T00:00:00Z,2.4,0.7,1.7
2022-02-14T00:00:00Z,2.5,0.5,2.0
2022-02-15T00:00:00Z,2.5,0.7,1.8
2022-02-16T00:00:00Z,2.6,1.6,1.0
2022-02-17T00:00:00Z,3.0,0.2,2.8
2022-02-18T00:00:00Z,0.7,-1.4,2.0999999999999996
2022-02-19T00:00:00Z,1.2,-1.6,2.8
2022-02-20T00:00:00Z,1.7,-2.5,4.2
2022-02-21T00:00:00Z,0.4,-2.8,3.1999999999999997
2022-02-22T00:00:00Z,0.1,-5.2,5.3
2022-02-23T00:00:00Z,-2.8,-12.6,9.8
2022-02-24T00:00:00Z,3.1,-3.1,6.2
2022-02-25T00:00:00Z,3.2,0.5,2.7
2022-02-26T00:00:00Z,1.8,-3.6,5.4
2022-02-27T00:00:00Z,2.4,-7.0,9.4
2022-02-28T00:00:00Z,5.1,-0.5,5.6
