row,month,day,time,clouds (1/8),relative humidity (%),rain intensity (mm/h),air temperature (degC)
0,6,1,00:00,1,61,0.0,6.5
1,6,1,01:00,1,68,0.0,5.5
2,6,1,02:00,5,72,0.0,5.3
3,6,1,03:00,5,74,0.0,5.7
4,6,1,04:00,7,72,0.0,6.5
5,6,1,05:00,1,66,0.0,7.8
6,6,1,06:00,0,59,0.0,9.0
7,6,1,07:00,3,50,0.0,10.1
8,6,1,08:00,5,81,1.7,5.5
9,6,1,09:00,7,83,0.0,5.5
10,6,1,10:00,5,75,1.8,6.6
11,6,1,11:00,5,75,0.0,6.7
12,6,1,12:00,7,81,0.7,6.2
13,6,1,13:00,1,65,0.0,7.7
14,6,1,14:00,1,56,0.0,9.0
15,6,1,15:00,5,59,0.0,9.0
16,6,1,16:00,5,79,0.0,6.2
17,6,1,17:00,7,83,1.1,6.1
18,6,1,18:00,7,58,0.0,7.7
19,6,1,19:00,0,60,0.0,7.2
20,6,1,20:00,0,62,0.0,6.5
21,6,1,21:00,0,67,0.0,5.7
22,6,1,22:00,0,71,0.0,5.3
23,6,1,23:00,0,72,0.0,5.0
24,6,2,00:00,0,71,0.0,4.4
25,6,2,01:00,0,72,0.0,3.7
26,6,2,02:00,0,70,0.0,3.6
27,6,2,03:00,0,69,0.0,4.2
28,6,2,04:00,1,66,0.0,5.2
29,6,2,05:00,0,62,0.0,6.3
30,6,2,06:00,7,54,0.0,6.7
31,6,2,07:00,7,54,0.0,6.5
32,6,2,08:00,8,54,0.0,7.2
33,6,2,09:00,7,53,0.0,7.3
34,6,2,10:00,7,57,0.0,7.5
35,6,2,11:00,7,53,0.0,8.6
36,6,2,12:00,7,57,0.0,8.3
37,6,2,13:00,7,57,0.0,8.6
38,6,2,14:00,7,59,0.0,8.4
39,6,2,15:00,7,65,0.0,7.5
40,6,2,16:00,8,62,0.0,7.3
41,6,2,17:00,3,54,0.0,8.8
42,6,2,18:00,0,57,0.0,8.3
43,6,2,19:00,3,60,0.0,7.9
44,6,2,20:00,0,52,0.0,7.4
45,6,2,21:00,0,54,0.0,6.7
46,6,2,22:00,0,58,0.0,5.9
47,6,2,23:00,1,61,0.0,5.4
48,6,3,00:00,1,63,0.0,5.0
49,6,3,01:00,8,64,0.0,4.9
50,6,3,02:00,0,67,0.0,4.5
51,6,3,03:00,0,67,0.0,4.7
52,6,3,04:00,0,61,0.0,6.4
53,6,3,05:00,0,55,0.0,8.1
54,6,3,06:00,0,44,0.0,9.1
55,6,3,07:00,1,46,0.0,10.1
56,6,3,08:00,0,42,0.0,11.4
57,6,3,09:00,1,42,0.0,12.5
58,6,3,10:00,3,41,0.0,11.9
59,6,3,11:00,3,38,0.0,12.7
60,6,3,12:00,3,35,0.0,14.0
61,6,3,13:00,3,37,0.0,14.8
62,6,3,14:00,5,33,0.0,14.8
63,6,3,15:00,1,31,0.0,15.6
64,6,3,16:00,0,31,0.0,15.1
65,6,3,17:00,0,31,0.0,14.7
66,6,3,18:00,0,32,0.0,14.1
67,6,3,19:00,0,37,0.0,12.2
68,6,3,20:00,0,47,0.0,10.2
