Month,Day,Hour,Sammonpuistikko,Hietaniemenkatu,Eteläinen Hesperiankatu,Kesäkatu,row,clouds (1/8),relative humidity (%),rain intensity (mm/h),air temperature (degC),_merge
6,1,0,5.75,,12.0,14.416666666666666,0,1,61,0.0,6.5,both
6,1,1,5.666666666666667,,12.0,15.0,1,1,68,0.0,5.5,both
6,1,2,6.916666666666667,,12.0,15.0,2,5,72,0.0,5.3,both
6,1,3,7.0,,12.0,15.0,3,5,74,0.0,5.7,both
6,1,4,7.0,,12.0,15.0,4,7,72,0.0,6.5,both
6,1,5,7.0,,12.166666666666666,15.0,5,1,66,0.0,7.8,both
6,1,6,6.166666666666667,,11.916666666666666,14.166666666666666,6,0,59,0.0,9.0,both
6,1,7,2.9166666666666665,,11.916666666666666,14.666666666666666,7,3,50,0.0,10.1,both
6,1,8,1.5833333333333333,,8.166666666666666,17.333333333333332,8,5,81,1.7,5.5,both
6,1,9,0.5833333333333334,,2.1666666666666665,21.666666666666668,9,7,83,0.0,5.5,both
6,1,10,5.25,,1.75,21.25,10,5,75,1.8,6.6,both
6,1,11,5.666666666666667,,3.25,12.25,11,5,75,0.0,6.7,both
6,1,12,4.166666666666667,,1.9166666666666667,11.583333333333334,12,7,81,0.7,6.2,both
6,1,13,3.8,,2.0,12.0,13,1,65,0.0,7.7,both
6,1,14,5.083333333333333,,3.4166666666666665,8.333333333333334,14,1,56,0.0,9.0,both
6,1,15,7.583333333333333,,6.5,8.833333333333334,15,5,59,0.0,9.0,both
6,1,16,6.416666666666667,,7.833333333333333,5.583333333333333,16,5,79,0.0,6.2,both
6,1,17,5.083333333333333,,13.333333333333334,4.166666666666667,17,7,83,1.1,6.1,both
6,1,18,4.166666666666667,,13.166666666666666,3.6666666666666665,18,7,58,0.0,7.7,both
6,1,19,3.3333333333333335,,15.833333333333334,7.583333333333333,19,0,60,0.0,7.2,both
6,1,20,4.666666666666667,,16.333333333333332,6.583333333333333,20,0,62,0.0,6.5,both
6,1,21,3.3333333333333335,,14.333333333333334,7.25,21,0,67,0.0,5.7,both
6,1,22,8.833333333333334,,13.833333333333334,7.083333333333333,22,0,71,0.0,5.3,both
6,1,23,10.5,,14.0,6.0,23,0,72,0.0,5.0,both
6,2,0,12.0,,14.0,6.0,24,0,71,0.0,4.4,both
6,2,1,11.083333333333334,,14.0,6.0,25,0,72,0.0,3.7,both
6,2,2,10.666666666666666,,14.0,6.0,26,0,70,0.0,3.6,both
6,2,3,10.0,,14.0,6.0,27,0,69,0.0,4.2,both
6,2,4,10.0,,14.0,6.0,28,1,66,0.0,5.2,both
6,2,5,10.0,,14.083333333333334,6.166666666666667,29,0,62,0.0,6.3,both
6,2,6,9.0,,15.0,7.166666666666667,30,7,54,0.0,6.7,both
6,2,7,5.333333333333333,,14.583333333333334,8.666666666666666,31,7,54,0.0,6.5,both
6,2,8,0.25,,10.583333333333334,10.166666666666666,32,8,54,0.0,7.2,both
6,2,9,0.5833333333333334,,8.833333333333334,16.583333333333332,33,7,53,0.0,7.3,both
6,2,10,0.0,,7.666666666666667,17.5,34,7,57,0.0,7.5,both
