,date,sales
0,2023-01-01,9838
1,2023-01-02,1947
2,2023-01-03,7377
3,2023-01-04,1181
4,2023-01-05,9473
5,2023-01-06,8221
6,2023-01-07,7386
7,2023-01-08,7923
8,2023-01-09,2661
9,2023-01-10,4828
10,2023-01-11,5019
11,2023-01-12,1656
12,2023-01-13,4031
13,2023-01-14,9900
14,2023-01-15,6630
15,2023-01-16,1167
16,2023-01-17,6553
17,2023-01-18,5329
18,2023-01-19,2048
19,2023-01-20,4798
20,2023-01-21,1063
21,2023-01-22,9239
22,2023-01-23,1196
23,2023-01-24,2328
24,2023-01-25,2288
25,2023-01-26,6837
26,2023-01-27,1891
27,2023-01-28,7263
28,2023-01-29,6170
29,2023-01-30,1437
30,2023-01-31,5555
31,2023-02-01,6231
32,2023-02-02,5362
33,2023-02-03,2091
34,2023-02-04,7107
35,2023-02-05,8043
36,2023-02-06,8520
37,2023-02-07,3395
38,2023-02-08,4959
39,2023-02-09,4211
40,2023-02-10,6449
41,2023-02-11,3315
42,2023-02-12,3763
43,2023-02-13,1825
44,2023-02-14,7392
45,2023-02-15,1466
46,2023-02-16,9267
47,2023-02-17,7038
48,2023-02-18,8953
49,2023-02-19,8271
50,2023-02-20,8680
51,2023-02-21,3976
52,2023-02-22,4614
53,2023-02-23,4400
54,2023-02-24,7777
55,2023-02-25,1230
56,2023-02-26,6327
57,2023-02-27,1559
58,2023-02-28,8560
59,2023-03-01,6634
60,2023-03-02,1192
61,2023-03-03,8896
62,2023-03-04,8353
63,2023-03-05,9650
64,2023-03-06,2945
65,2023-03-07,2004
66,2023-03-08,9065
67,2023-03-09,1791
68,2023-03-10,9770
69,2023-03-11,5576
70,2023-03-12,8412
71,2023-03-13,3020
72,2023-03-14,3138
73,2023-03-15,5050
74,2023-03-16,7862
75,2023-03-17,2224
76,2023-03-18,6169
77,2023-03-19,7103
78,2023-03-20,1515
79,2023-03-21,6214
80,2023-03-22,9863
81,2023-03-23,3536
82,2023-03-24,5091
83,2023-03-25,5782
84,2023-03-26,2071
85,2023-03-27,6235
86,2023-03-28,7153
87,2023-03-29,8900
88,2023-03-30,8497
89,2023-03-31,8081
90,2023-04-01,7380
91,2023-04-02,7974
92,2023-04-03,9723
93,2023-04-04,9157
