air_temperature_2m,time,datetime
271.370819,1647043200.0,2022-03-12 00:00:00+00:00
270.397156,1647046800.0,2022-03-12 01:00:00+00:00
269.911011,1647050400.0,2022-03-12 02:00:00+00:00
269.699951,1647054000.0,2022-03-12 03:00:00+00:00
269.601532,1647057600.0,2022-03-12 04:00:00+00:00
269.337708,1647061200.0,2022-03-12 05:00:00+00:00
269.527924,1647064800.0,2022-03-12 06:00:00+00:00
270.65744,1647068400.0,2022-03-12 07:00:00+00:00
272.157928,1647072000.0,2022-03-12 08:00:00+00:00
273.591583,1647075600.0,2022-03-12 09:00:00+00:00
274.514526,1647079200.0,2022-03-12 10:00:00+00:00
275.658691,1647082800.0,2022-03-12 11:00:00+00:00
276.779572,1647086400.0,2022-03-12 12:00:00+00:00
277.35083,1647090000.0,2022-03-12 13:00:00+00:00
277.21579,1647093600.0,2022-03-12 14:00:00+00:00
276.38266,1647097200.0,2022-03-12 15:00:00+00:00
274.583252,1647100800.0,2022-03-12 16:00:00+00:00
272.723969,1647104400.0,2022-03-12 17:00:00+00:00
271.622437,1647108000.0,2022-03-12 18:00:00+00:00
270.723633,1647111600.0,2022-03-12 19:00:00+00:00
270.010925,1647115200.0,2022-03-12 20:00:00+00:00
269.456696,1647118800.0,2022-03-12 21:00:00+00:00
268.81366,1647122400.0,2022-03-12 22:00:00+00:00
268.357239,1647126000.0,2022-03-12 23:00:00+00:00
269.207703,1647129600.0,2022-03-13 00:00:00+00:00
268.093628,1647133200.0,2022-03-13 01:00:00+00:00
267.209106,1647136800.0,2022-03-13 02:00:00+00:00
266.49176,1647140400.0,2022-03-13 03:00:00+00:00
265.93988,1647144000.0,2022-03-13 04:00:00+00:00
265.732025,1647147600.0,2022-03-13 05:00:00+00:00
266.171814,1647151200.0,2022-03-13 06:00:00+00:00
267.896912,1647154800.0,2022-03-13 07:00:00+00:00
270.333832,1647158400.0,2022-03-13 08:00:00+00:00
273.197723,1647162000.0,2022-03-13 09:00:00+00:00
275.376556,1647165600.0,2022-03-13 10:00:00+00:00
277.166534,1647169200.0,2022-03-13 11:00:00+00:00
278.838287,1647172800.0,2022-03-13 12:00:00+00:00
279.069641,1647176400.0,2022-03-13 13:00:00+00:00
278.735443,1647180000.0,2022-03-13 14:00:00+00:00
277.589355,1647183600.0,2022-03-13 15:00:00+00:00
275.679718,1647187200.0,2022-03-13 16:00:00+00:00
273.301147,1647190800.0,2022-03-13 17:00:00+00:00
272.126862,1647194400.0,2022-03-13 18:00:00+00:00
271.2005,1647198000.0,2022-03-13 19:00:00+00:00
270.307922,1647201600.0,2022-03-13 20:00:00+00:00
269.483917,1647205200.0,2022-03-13 21:00:00+00:00
269.128723,1647208800.0,2022-03-13 22:00:00+00:00
268.706451,1647212400.0,2022-03-13 23:00:00+00:00
267.302551,1647216000.0,2022-03-14 00:00:00+00:00
267.271729,1647219600.0,2022-03-14 01:00:00+00:00
266.947906,1647223200.0,2022-03-14 02:00:00+00:00
266.646667,1647226800.0,2022-03-14 03:00:00+00:00
266.335175,1647230400.0,2022-03-14 04:00:00+00:00
265.99939,1647234000.0,2022-03-14 05:00:00+00:00
266.315338,1647237600.0,2022-03-14 06:00:00+00:00
268.01947,1647241200.0,2022-03-14 07:00:00+00:00
270.928528,1647244800.0,2022-03-14 08:00:00+00:00
274.579468,1647248400.0,2022-03-14 09:00:00+00:00
277.921997,1647252000.0,2022-03-14 10:00:00+00:00
279.933167,1647255600.0,2022-03-14 11:00:00+00:00
280.689545,1647259200.0,2022-03-14 12:00:00+00:00
280.628113,1647262800.0,2022-03-14 13:00:00+00:00
279.702209,1647266400.0,2022-03-14 14:00:00+00:00
278.251282,1647270000.0,2022-03-14 15:00:00+00:00
275.836029,1647273600.0,2022-03-14 16:00:00+00:00
273.387573,1647277200.0,2022-03-14 17:00:00+00:00
271.165405,1647280800.0,2022-03-14 18:00:00+00:00
270.036194,1647284400.0,2022-03-14 19:00:00+00:00
269.339539,1647288000.0,2022-03-14 20:00:00+00:00
269.048035,1647291600.0,2022-03-14 21:00:00+00:00
268.530212,1647295200.0,2022-03-14 22:00:00+00:00
268.018463,1647298800.0,2022-03-14 23:00:00+00:00
266.999268,1647302400.0,2022-03-15 00:00:00+00:00
266.621521,1647306000.0,2022-03-15 01:00:00+00:00
266.148132,1647309600.0,2022-03-15 02:00:00+00:00
265.885529,1647313200.0,2022-03-15 03:00:00+00:00
265.633881,1647316800.0,2022-03-15 04:00:00+00:00
265.648499,1647320400.0,2022-03-15 05:00:00+00:00
266.628296,1647324000.0,2022-03-15 06:00:00+00:00
268.690887,1647327600.0,2022-03-15 07:00:00+00:00
271.450256,1647331200.0,2022-03-15 08:00:00+00:00
274.334106,1647334800.0,2022-03-15 09:00:00+00:00
276.33606,1647338400.0,2022-03-15 10:00:00+00:00
277.815704,1647342000.0,2022-03-15 11:00:00+00:00
278.875458,1647345600.0,2022-03-15 12:00:00+00:00
279.430756,1647349200.0,2022-03-15 13:00:00+00:00
278.882202,1647352800.0,2022-03-15 14:00:00+00:00
277.535431,1647356400.0,2022-03-15 15:00:00+00:00
275.817841,1647360000.0,2022-03-15 16:00:00+00:00
273.800415,1647363600.0,2022-03-15 17:00:00+00:00
272.203339,1647367200.0,2022-03-15 18:00:00+00:00
271.041779,1647370800.0,2022-03-15 19:00:00+00:00
270.260254,1647374400.0,2022-03-15 20:00:00+00:00
