air_temperature_2m,time
271.370819,1647043200.0
270.397156,1647046800.0
269.911011,1647050400.0
269.699951,1647054000.0
269.601532,1647057600.0
269.337708,1647061200.0
269.527924,1647064800.0
270.65744,1647068400.0
272.157928,1647072000.0
273.591583,1647075600.0
274.514526,1647079200.0
275.658691,1647082800.0
276.779572,1647086400.0
277.35083,1647090000.0
277.21579,1647093600.0
276.38266,1647097200.0
274.583252,1647100800.0
272.723969,1647104400.0
271.622437,1647108000.0
270.723633,1647111600.0
270.010925,1647115200.0
269.456696,1647118800.0
268.81366,1647122400.0
268.357239,1647126000.0
269.207703,1647129600.0
268.093628,1647133200.0
267.209106,1647136800.0
266.49176,1647140400.0
265.93988,1647144000.0
265.732025,1647147600.0
266.171814,1647151200.0
267.896912,1647154800.0
270.333832,1647158400.0
273.197723,1647162000.0
275.376556,1647165600.0
277.166534,1647169200.0
278.838287,1647172800.0
279.069641,1647176400.0
278.735443,1647180000.0
277.589355,1647183600.0
275.679718,1647187200.0
273.301147,1647190800.0
272.126862,1647194400.0
271.2005,1647198000.0
270.307922,1647201600.0
269.483917,1647205200.0
269.128723,1647208800.0
268.706451,1647212400.0
267.302551,1647216000.0
267.271729,1647219600.0
266.947906,1647223200.0
266.646667,1647226800.0
266.335175,1647230400.0
265.99939,1647234000.0
266.315338,1647237600.0
268.01947,1647241200.0
270.928528,1647244800.0
274.579468,1647248400.0
277.921997,1647252000.0
279.933167,1647255600.0
280.689545,1647259200.0
280.628113,1647262800.0
279.702209,1647266400.0
278.251282,1647270000.0
275.836029,1647273600.0
273.387573,1647277200.0
271.165405,1647280800.0
270.036194,1647284400.0
269.339539,1647288000.0
269.048035,1647291600.0
268.530212,1647295200.0
268.018463,1647298800.0
266.999268,1647302400.0
266.621521,1647306000.0
266.148132,1647309600.0
265.885529,1647313200.0
265.633881,1647316800.0
265.648499,1647320400.0
266.628296,1647324000.0
268.690887,1647327600.0
271.450256,1647331200.0
274.334106,1647334800.0
276.33606,1647338400.0
277.815704,1647342000.0
278.875458,1647345600.0
279.430756,1647349200.0
278.882202,1647352800.0
277.535431,1647356400.0
275.817841,1647360000.0
273.800415,1647363600.0
272.203339,1647367200.0
271.041779,1647370800.0
270.260254,1647374400.0
269.443848,1647378000.0
268.862305,1647381600.0
268.290649,1647385200.0
267.562012,1647388800.0
267.148438,1647392400.0
266.574707,1647396000.0
266.099731,1647399600.0
266.146973,1647403200.0
265.842834,1647406800.0
266.286499,1647410400.0
268.136719,1647414000.0
271.210388,1647417600.0
274.317383,1647421200.0
276.176361,1647424800.0
277.547394,1647428400.0
278.624207,1647432000.0
279.243561,1647435600.0
278.763702,1647439200.0
277.177216,1647442800.0
274.802612,1647446400.0
272.38913,1647450000.0
271.056885,1647453600.0
269.989685,1647457200.0
269.283203,1647460800.0
268.858948,1647464400.0
268.355316,1647468000.0
267.902954,1647471600.0
267.844849,1647475200.0
267.203735,1647478800.0
266.882263,1647482400.0
266.527344,1647486000.0
266.160278,1647489600.0
266.432251,1647493200.0
267.126831,1647496800.0
269.264038,1647500400.0
272.501526,1647504000.0
274.931366,1647507600.0
276.911469,1647511200.0
278.582733,1647514800.0
279.492981,1647518400.0
279.961609,1647522000.0
280.037079,1647525600.0
278.893982,1647529200.0
276.893829,1647532800.0
274.498047,1647536400.0
272.962952,1647540000.0
271.880859,1647543600.0
271.19165,1647547200.0
270.615601,1647550800.0
270.084351,1647554400.0
269.694519,1647558000.0
269.603241,1647561600.0
269.252686,1647565200.0
268.902557,1647568800.0
268.601868,1647572400.0
268.491913,1647576000.0
268.248535,1647579600.0
269.141479,1647583200.0
271.683777,1647586800.0
273.698242,1647590400.0
274.688354,1647594000.0
275.989227,1647597600.0
275.777679,1647601200.0
275.176758,1647604800.0
274.867706,1647608400.0
274.814026,1647612000.0
274.867188,1647615600.0
274.62204,1647619200.0
274.382111,1647622800.0
274.438904,1647626400.0
274.56842,1647630000.0
274.71347,1647633600.0
274.839294,1647637200.0
274.842804,1647640800.0
274.957764,1647644400.0
275.706268,1647648000.0
275.240021,1647651600.0
275.232178,1647655200.0
275.005127,1647658800.0
274.713135,1647662400.0
273.23703,1647666000.0
273.821838,1647669600.0
274.743774,1647673200.0
275.887756,1647676800.0
277.445099,1647680400.0
278.709381,1647684000.0
279.69516,1647687600.0
280.267426,1647691200.0
280.340118,1647694800.0
280.000031,1647698400.0
279.299713,1647702000.0
278.382507,1647705600.0
277.372192,1647709200.0
276.76123,1647712800.0
276.163269,1647716400.0
275.60144,1647720000.0
274.663696,1647723600.0
274.454437,1647727200.0
274.145599,1647730800.0
273.566437,1647734400.0
273.185883,1647738000.0
273.197357,1647741600.0
273.130707,1647745200.0
272.81897,1647748800.0
273.250946,1647752400.0
274.013824,1647756000.0
275.634949,1647759600.0
277.738251,1647763200.0
279.455597,1647766800.0
280.888885,1647770400.0
281.714661,1647774000.0
282.161346,1647777600.0
282.528168,1647781200.0
282.242889,1647784800.0
281.156616,1647788400.0
279.670319,1647792000.0
277.900818,1647795600.0
276.861328,1647799200.0
275.957123,1647802800.0
275.46405,1647806400.0
274.886658,1647810000.0
274.447388,1647813600.0
274.052124,1647817200.0
273.480042,1647820800.0
273.636505,1647824400.0
273.526245,1647828000.0
273.093628,1647831600.0
272.751587,1647835200.0
272.817688,1647838800.0
274.050415,1647842400.0
276.720337,1647846000.0
278.698486,1647849600.0
280.467834,1647853200.0
281.854401,1647856800.0
282.915558,1647860400.0
282.952515,1647864000.0
282.665039,1647867600.0
282.177704,1647871200.0
280.64679,1647874800.0
278.441772,1647878400.0
276.386688,1647882000.0
275.757172,1647885600.0
275.667389,1647889200.0
275.472229,1647892800.0
274.244507,1647896400.0
272.660278,1647900000.0
271.675934,1647903600.0
272.570496,1647907200.0
272.234863,1647910800.0
271.835327,1647914400.0
271.386719,1647918000.0
271.062866,1647921600.0
270.84845,1647925200.0
272.319153,1647928800.0
274.579559,1647932400.0
276.595581,1647936000.0
278.344788,1647939600.0
279.68219,1647943200.0
280.485413,1647946800.0
280.878418,1647950400.0
280.647217,1647954000.0
280.146149,1647957600.0
279.240295,1647961200.0
277.346558,1647964800.0
275.151154,1647968400.0
274.085236,1647972000.0
273.164703,1647975600.0
272.583832,1647979200.0
272.043335,1647982800.0
271.043762,1647986400.0
269.990112,1647990000.0
269.569977,1647993600.0
269.218811,1647997200.0
268.807556,1648000800.0
268.385925,1648004400.0
268.042358,1648008000.0
268.157196,1648011600.0
269.975983,1648015200.0
272.925568,1648018800.0
274.243347,1648022400.0
274.984192,1648026000.0
276.25708,1648029600.0
277.692841,1648033200.0
278.84375,1648036800.0
279.448364,1648040400.0
279.564392,1648044000.0
278.992889,1648047600.0
277.612701,1648051200.0
275.229736,1648054800.0
